,date,o,h,l,close,vol,c
0,2015-06-19,2121.060059,2121.639893,2109.449951,2109.98999,4449810000,2109.98999
1,2015-06-18,2101.580078,2126.649902,2101.580078,2121.23999,3520360000,2121.23999
2,2015-06-17,2097.399902,2106.790039,2088.860107,2100.439941,3222240000,2100.439941
3,2015-06-16,2084.26001,2097.399902,2082.100098,2096.290039,2919900000,2096.290039
4,2015-06-15,2091.340088,2091.340088,2072.48999,2084.429932,3061570000,2084.429932
5,2015-06-12,2107.429932,2107.429932,2091.330078,2094.110107,2719400000,2094.110107
6,2015-06-11,2106.23999,2115.02002,2106.23999,2108.860107,3128600000,2108.860107
7,2015-06-10,2081.1201170000004,2108.5,2081.1201170000004,2105.199951,3414320000,2105.199951
8,2015-06-09,2079.070068,2085.6201170000004,2072.139893,2080.149902,3034580000,2080.149902
9,2015-06-08,2092.340088,2093.01001,2079.110107,2079.280029,2917150000,2079.280029
10,2015-06-05,2095.090088,2100.98999,2085.669922,2092.830078,3243690000,2092.830078
11,2015-06-04,2112.350098,2112.889893,2093.22998,2095.840088,3200050000,2095.840088
12,2015-06-03,2110.639893,2121.919922,2109.610107,2114.070068,3099980000,2114.070068
13,2015-06-02,2110.409912,2117.590088,2099.139893,2109.600098,3049350000,2109.600098
14,2015-06-01,2108.639893,2119.149902,2102.540039,2111.72998,3011710000,2111.72998
15,2015-05-29,2120.659912,2120.659912,2104.889893,2107.389893,3927390000,2107.389893
16,2015-05-28,2122.27002,2122.27002,2112.860107,2120.790039,2980350000,2120.790039
17,2015-05-27,2105.129883,2126.219971,2105.129883,2123.47998,3127960000,2123.47998
18,2015-05-26,2125.340088,2125.340088,2099.179932,2104.199951,3342130000,2104.199951
19,2015-05-22,2130.360107,2132.149902,2126.060059,2126.060059,2571860000,2126.060059
20,2015-05-21,2125.550049,2134.280029,2122.949951,2130.820068,3070460000,2130.820068
21,2015-05-20,2127.790039,2134.719971,2122.590088,2125.850098,3025880000,2125.850098
22,2015-05-19,2129.449951,2133.02002,2124.5,2127.830078,3296030000,2127.830078
23,2015-05-18,2121.300049,2131.780029,2120.01001,2129.199951,2888190000,2129.199951
24,2015-05-15,2122.070068,2123.889893,2116.810059,2122.72998,3092080000,2122.72998
25,2015-05-14,2100.429932,2121.449951,2100.429932,2121.100098,3225740000,2121.100098
26,2015-05-13,2099.6201170000004,2110.189941,2096.040039,2098.47998,3374260000,2098.47998
27,2015-05-12,2102.8701170000004,2105.060059,2085.570068,2099.1201170000004,0,2099.1201170000004
28,2015-05-11,2115.560059,2117.689941,2104.580078,2105.330078,2992670000,2105.330078
29,2015-05-08,2092.129883,2117.659912,2092.129883,2116.100098,3399440000,2116.100098
30,2015-05-07,2079.959961,2092.899902,2074.98999,2088.0,3676640000,2088.0
31,2015-05-06,2091.26001,2098.419922,2067.929932,2080.149902,3792210000,2080.149902
32,2015-05-05,2112.629883,2115.23999,2088.459961,2089.459961,3793950000,2089.459961
33,2015-05-04,2110.22998,2120.949951,2110.22998,2114.48999,3091580000,2114.48999
34,2015-05-01,2087.379883,2108.409912,2087.379883,2108.290039,3379390000,2108.290039
35,2015-04-30,2105.52002,2105.52002,2077.590088,2085.51001,4509680000,2085.51001
36,2015-04-29,2112.48999,2113.649902,2097.409912,2106.850098,4074970000,2106.850098
37,2015-04-28,2108.350098,2116.040039,2094.889893,2114.76001,3546270000,2114.76001
